# path: C:\Users\PC\Desktop\Laboratorios\Lenguajes\Tarea2\Pregunta2\expr_test.v
# build_options: -no-parallel -coverage coverage/ -os windows -arch amd64 -d gcboehm -d gcboehm_full -d gcboehm_opt -d windows
meta,point,hits
c2298b25d63df745,0,45
c2298b25d63df745,1,45
c2298b25d63df745,2,45
c2298b25d63df745,12,264
c2298b25d63df745,14,264
c2298b25d63df745,15,45
c2298b25d63df745,16,45
c2298b25d63df745,17,45
c2298b25d63df745,18,45
c2298b25d63df745,19,45
c2298b25d63df745,20,45
c2298b25d63df745,21,45
c2298b25d63df745,22,45
c2298b25d63df745,23,45
5b234d8212c65de2,0,55
5b234d8212c65de2,1,55
5b234d8212c65de2,7,55
5b234d8212c65de2,8,55
5b234d8212c65de2,10,55
5b234d8212c65de2,11,55
5b234d8212c65de2,12,55
5b234d8212c65de2,13,55
5b234d8212c65de2,14,55
5b234d8212c65de2,15,55
5b234d8212c65de2,31,55
5b234d8212c65de2,34,55
5b234d8212c65de2,35,55
5b234d8212c65de2,36,55
5b234d8212c65de2,37,55
5b234d8212c65de2,38,59
5b234d8212c65de2,39,59
5b234d8212c65de2,45,59
5b234d8212c65de2,46,59
5b234d8212c65de2,47,59
5b234d8212c65de2,53,59
5b234d8212c65de2,55,59
5b234d8212c65de2,57,59
5b234d8212c65de2,58,59
5b234d8212c65de2,59,59
5b234d8212c65de2,61,59
5b234d8212c65de2,62,55
5b234d8212c65de2,63,55
5b234d8212c65de2,65,55
5b234d8212c65de2,66,55
5b234d8212c65de2,68,55
5b234d8212c65de2,69,55
5b234d8212c65de2,70,55
5b234d8212c65de2,76,55
5b234d8212c65de2,77,55
5b234d8212c65de2,79,55
5b234d8212c65de2,80,55
5b234d8212c65de2,82,55
5b234d8212c65de2,84,55
4d1d96a2006273d9,0,15
4d1d96a2006273d9,1,15
4d1d96a2006273d9,2,15
4d1d96a2006273d9,3,15
4d1d96a2006273d9,4,15
4d1d96a2006273d9,5,20
4d1d96a2006273d9,6,20
4d1d96a2006273d9,7,20
4d1d96a2006273d9,8,20
4d1d96a2006273d9,9,20
4d1d96a2006273d9,10,20
4d1d96a2006273d9,11,2
4d1d96a2006273d9,12,18
4d1d96a2006273d9,13,20
4d1d96a2006273d9,22,20
4d1d96a2006273d9,53,61
4d1d96a2006273d9,54,1
4d1d96a2006273d9,55,60
4d1d96a2006273d9,57,60
4d1d96a2006273d9,58,42
4d1d96a2006273d9,59,60
4d1d96a2006273d9,63,60
4d1d96a2006273d9,64,60
4d1d96a2006273d9,65,60
4d1d96a2006273d9,66,42
4d1d96a2006273d9,67,42
4d1d96a2006273d9,68,38
4d1d96a2006273d9,69,60
4d1d96a2006273d9,70,60
4d1d96a2006273d9,71,60
4d1d96a2006273d9,85,45
4d1d96a2006273d9,88,64
4d1d96a2006273d9,89,64
4d1d96a2006273d9,91,64
4d1d96a2006273d9,92,64
4d1d96a2006273d9,93,32
4d1d96a2006273d9,95,32
4d1d96a2006273d9,96,32
4d1d96a2006273d9,97,32
4d1d96a2006273d9,98,32
4d1d96a2006273d9,131,243
4d1d96a2006273d9,133,243
4d1d96a2006273d9,135,243
4d1d96a2006273d9,136,55
4d1d96a2006273d9,137,243
4d1d96a2006273d9,138,243
4d1d96a2006273d9,139,264
4d1d96a2006273d9,141,264
4d1d96a2006273d9,142,264
